latitude,longitude,city
51.43443,-2.84886,Clevedon
51.34266,-2.97065,Weston-Super-Mare
51.32769,-2.93158,Hutton
51.32039,-2.82522,Winscombe
51.33081,-2.87709,Banwell
51.42221,-2.65158,Long Ashton
51.42523,-2.748,Nailsea
51.3798,-2.81767,Yatton
55.0246,-1.56823,Longbenton
53.99264,-2.05339,Thorlby
54.07773,-2.27361,Langcliffe
54.41381,-1.69025,Skeeby
54.43841,-1.8751,Marske
54.37042,-1.38885,Winton
54.33761,-1.48471,Yafforth
54.29267,-1.78489,Spennithorne
54.37521,-1.70902,Colburn
53.98722,-1.52565,Harrogate
54.03069,-1.61676,Clint
54.15636,-1.5666,North Stainley
54.013,-1.45668,Knaresborough
53.86987,-1.25168,Grimston
54.46614,-1.16368,Great and Little Broughton
54.27356,-0.42267,Scarborough
54.28798,-0.49587,Stainton Dale
54.19903,-0.29672,Muston
54.13631,-0.75397,Settrington
54.2587,-0.76717,Pickering
54.47654,-0.71123,Hutton Mulgrave
54.45038,-0.62104,Snainton
54.08182,-1.37628,Boroughbridge
54.08237,-0.94057,Thornton-le-Clay
54.11579,-1.1937,Easingwold
54.24282,-0.99325,Nawton
54.2237,-1.3496,Sowerby
53.7813,-1.05745,Selby
52.48616,-0.89244,Dingley
52.07215,-0.85164,Cosgrove
52.2915,-0.59668,Rushden
52.24033,-1.17833,Badby
52.12744,-0.99778,Towcester
52.0324,-1.14715,Brackley
52.40948,-0.69145,Warkton
52.40531,-0.72098,Kettering
52.47986,-0.7144,Corby
52.2599,-0.66362,Wollaston
52.24732,-0.92916,Duston
52.32208,-0.9435,Spratton
52.20954,-0.92714,Northampton
52.30254,-0.69754,Wellingborough
52.33288,-0.59831,Irthlingborough
52.07291,-1.28938,Middleton Cheney
52.52694,-0.44176,Tansor
55.03787,-1.86072,Stamfordham
55.17901,-2.0958,Elsdon
55.05304,-1.78553,Ponteland
55.12238,-1.52013,Blyth
54.9758,-1.81875,Wylam
54.96237,-1.85474,Prudhoe
54.94804,-1.90475,Stocksfield
54.94268,-1.97814,Broomhaugh and Riding
54.97683,-2.01563,Corbridge
54.97948,-2.10626,Hexham
54.92894,-2.25127,Allendale
55.13114,-2.25724,Bellingham
54.96698,-2.45927,Haltwhistle
55.18045,-1.68905,Morpeth
55.18437,-1.51467,Wansbeck
55.3127,-1.75104,Newton on the Moor
55.42858,-1.73135,Denwick
55.53363,-1.6926,Ellingham
55.57398,-1.65739,North Sunderland
55.60468,-1.71586,Bamburgh
55.59409,-1.81591,Belford
55.55558,-2.04439,Akeld
52.89934,-1.17335,Clifton
53.42705,-0.94339,Everton
52.91104,-1.05415,Cotgrave
52.94767,-0.92087,Bingham
53.01519,-1.03696,Lowdham
53.02688,-1.29319,Greasley
53.11569,-1.26035,Sutton in Ashfield
53.15933,-1.19678,Mansfield
52.935,-1.131,West Bridgford
53.20958,-1.18386,Warsop
53.14069,-1.10443,Rainworth
53.17826,-0.97046,Ompton
53.11553,-0.80012,North Muskham
53.06966,-0.79841,Newark-on-Trent
53.07294,-0.95506,Southwell
52.97062,-1.08561,Carlton
52.92583,-1.23533,Beeston
53.29205,-1.14928,Clumber and Hardwick
53.3377,-1.12134,Carlton in Lindrick
53.57191,-2.10874,Shaw
53.55309,-2.00906,Saddleworth
51.60781,-1.12625,Wallingford
51.59965,-1.24626,Didcot
51.59437,-1.42537,Wantage
